,date,VRP
1908,2003-09-03,-33.13930414917513
1909,2003-09-04,-43.87909635245916
1910,2003-09-05,-50.00624602052483
1911,2003-09-08,-48.934933877128515
1912,2003-09-09,-40.764559589053476
1913,2003-09-10,-23.72982889165519
1914,2003-09-11,-35.840296546611114
1915,2003-09-12,-43.79844064053293
1916,2003-09-15,-34.87912105120773
1917,2003-09-16,-52.63733950571083
1918,2003-09-17,-51.97378320568032
1919,2003-09-18,-59.56704330747965
1920,2003-09-19,-60.80130844768286
1921,2003-09-22,-17.135809001934206
1922,2003-09-23,-34.19823288455609
1923,2003-09-24,-6.537601569180936
1924,2003-09-25,9.03276708303298
1925,2003-09-26,8.385974589889827
1926,2003-09-29,-1.2515922662233834
1927,2003-09-30,16.35293070318511
1928,2003-10-01,-11.796672557371721
1929,2003-10-02,-17.641150454670424
1930,2003-10-03,-37.684508899653
1931,2003-10-06,-37.956631445579774
1932,2003-10-07,-39.343249997394196
1933,2003-10-08,-42.36620520761602
1934,2003-10-09,-47.4225021678771
1935,2003-10-10,-52.124893095523646
1936,2003-10-13,-64.41853752381593
1937,2003-10-14,-67.05011491031269
1938,2003-10-15,-62.75117640974969
1939,2003-10-16,-68.47544216733422
1940,2003-10-17,-62.72687344016032
1941,2003-10-20,-70.09422337634788
1942,2003-10-21,-76.49376557156444
1943,2003-10-22,-60.95994639880462
1944,2003-10-23,-61.74449336945736
1945,2003-10-24,-59.60141207396873
1946,2003-10-27,-54.86302064116819
1947,2003-10-28,-71.14848386141813
1948,2003-10-29,-76.79033349316438
1949,2003-10-30,-77.5104326767825
1950,2003-10-31,-77.9308034585033
1951,2003-11-03,-72.33534304557969
1952,2003-11-04,-72.20695503023671
1953,2003-11-05,-68.28327442757796
1954,2003-11-06,-69.7300379770927
1955,2003-11-07,-67.3112169172968
1956,2003-11-10,-58.15054595856674
1957,2003-11-11,-59.39281886975135
1958,2003-11-12,-69.55036601191898
1959,2003-11-13,-73.68830591568059
1960,2003-11-14,-67.6278958945557
1961,2003-11-17,-45.21737489288563
1962,2003-11-18,-37.52170072268507
1963,2003-11-19,-42.307200573218665
1964,2003-11-20,-32.62243220792993
1965,2003-11-21,-39.25172040067292
1966,2003-11-24,-60.73930111629454
1967,2003-11-25,-71.49218841239815
1968,2003-11-26,-77.553044779743
1969,2003-11-28,-75.38868391580161
1970,2003-12-01,-69.66537818315459
1971,2003-12-02,-76.62309805677455
1972,2003-12-03,-72.06560491768045
1973,2003-12-04,-75.94538218320253
1974,2003-12-05,-65.78220052440378
1975,2003-12-08,-73.16270190542099
1976,2003-12-09,-58.95815974140959
1977,2003-12-10,-55.941961976002574
1978,2003-12-11,-70.92366137117904
1979,2003-12-12,-75.63994439794237
1980,2003-12-15,-64.444033524703
1981,2003-12-16,-81.14935848814048
1982,2003-12-17,-85.31436310731783
1983,2003-12-18,-78.05480315135662
1984,2003-12-19,-75.08134069735848
1985,2003-12-22,-68.10833177364219
1986,2003-12-23,-73.60944763886499
1987,2003-12-24,-71.47300163535459
1988,2003-12-26,-59.85331189214406
1989,2003-12-29,-64.62581953760514
1990,2003-12-30,-57.41404805809657
1991,2003-12-31,-48.710488183399434
1992,2004-01-02,-49.37064170534097
1993,2004-01-05,-59.37153247608575
1994,2004-01-06,-70.09295304410705
1995,2004-01-07,-85.2104332406604
1996,2004-01-08,-83.63462121885698
1997,2004-01-09,-69.3300246380303
1998,2004-01-12,-68.45868715733201
1999,2004-01-13,-52.240553016519016
