This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20050601, -1.845, -1.845, -1.845, -2.074, -2.074, -0.665
20050602, -0.854, -0.854, -0.854, 0.874, 0.874, 1.065
20050603, -0.035, -0.035, -0.035, -0.325, -0.325, -0.003
20050606, -1.990, -1.990, -0.715, -0.715, -0.715, -1.213
20050607, -1.755, -1.755, 0.337, 0.337, 0.337, 0.740
20050608, 0.582, 0.582, -0.703, -0.703, -0.703, 2.246
20050609, -0.574, -0.574, -1.351, -1.351, -1.351, -1.473
20050610, 2.074, 2.074, 2.074, 2.074, 2.074, -0.503
20050613, -2.573, -2.573, -2.573, -2.573, -2.573, 1.140
20050614, -0.264, -0.264, -0.264, -0.264, -0.264, -0.248
20050615, -1.153, -1.153, -1.153, -1.153, -1.153, -0.137
20050616, -0.565, -0.565, -0.565, -0.565, -0.565, -0.525
20050617, 0.953, 0.953, 0.953, 0.953, 0.953, -1.169
20050620, 0.271, 0.271, 0.271, 0.271, 0.271, -0.118
20050621, -1.532, -1.532, -1.532, 1.742, 1.742, 1.742
20050622, 0.159, 0.159, 0.159, -2.167, -2.167, -0.151
20050623, 0.042, 0.042, 0.042, 4.394, 4.394, 1.661
20050624, 2.663, 2.663, 2.663, 3.204, 3.204, -0.961
20050627, -1.284, -1.284, -1.284, -1.098, -1.098, -0.087
20050628, -1.915, -1.915, -1.915, 0.000, 0.000, -2.429
20050629, 1.497, 1.497, 1.497, -3.460, -3.460, 3.536
20050630, 0.350, 0.350, 0.350, -0.414, -0.414, -0.464
20050701, -0.124, -0.124, -0.124, -0.616, -0.616, -0.150
20050705, -1.733, -1.733, -1.733, -0.050, -0.050, -2.336
20050706, 0.942, 0.942, 0.181, 0.181, 0.181, 1.653
20050707, 0.713, 0.713, 1.148, 1.148, 1.148, 0.617
20050708, -2.830, -2.830, -2.580, -2.580, -2.580, -1.675
20050711, -1.408, -1.408, 3.180, 3.180, 3.180, -1.514
20050712, -1.188, -1.188, 1.067, 1.067, 1.067, 0.011
20050713, -1.715, -1.715, -0.876, -0.876, -0.876, 0.519
20050714, -1.346, -1.346, -0.854, -0.854, -0.854, -0.554
20050715, -0.901, -0.901, -3.401, -3.401, -3.401, -0.424
20050718, -0.294, -0.294, -2.502, -2.502, -2.502, -0.077
20050719, -1.634, -1.634, 3.662, 3.662, 3.662, -1.968
20050720, -0.866, -0.866, -1.418, -1.418, -1.418, -0.570
20050721, -0.633, -0.633, -1.905, -1.905, -1.905, 0.074
20050722, -1.489, -1.489, 0.688, 0.688, -2.417, -2.417
20050725, 0.650, 0.650, -4.249, -4.249, 2.315, 2.315
20050726, 0.611, 0.611, -0.075, -0.075, -0.884, -0.884
20050727, -1.007, -1.007, -2.456, -2.456, -0.396, -0.396
20050728, -1.400, -1.400, -1.438, -1.438, 0.561, 0.561
20050729, 1.404, 1.404, 1.590, 1.590, -1.069, -1.069
20050801, 1.152, 1.152, 1.875, 1.875, 1.077, 1.077
20050802, -0.476, -0.476, -1.013, -1.013, -1.186, -1.186
20050803, 0.175, 0.175, -0.292, -0.292, 0.875, 0.875
20050804, 1.784, 0.098, 0.098, 0.098, 0.806, 0.806
20050805, 0.652, -0.611, -0.611, -0.611, 0.804, 0.804
20050808, 0.843, 1.063, 1.063, 1.063, 1.845, 1.845
