,date,near,next,RET
469,1997-11-10,12,40,-0.05393409212467504
470,1997-11-11,11,39,-0.06075926167072021
471,1997-11-12,10,38,0.025119432933730534
472,1997-11-13,9,37,-0.0818075908454391
473,1997-11-14,8,36,-0.20431851056914263
474,1997-11-17,5,33,-0.2132717536525125
475,1997-11-18,4,32,-0.02267746735399745
476,1997-11-19,3,31,-0.1095437185280721
478,1997-11-21,29,57,-0.12011074721786952
479,1997-11-24,26,54,0.17161412406425347
480,1997-11-25,25,53,-0.09791306665283483
481,1997-11-26,24,52,-0.07163181946769959
482,1997-11-28,22,50,-0.11030302920071067
483,1997-12-01,19,47,-0.19090122740836424
484,1997-12-02,18,46,-0.14748708344504524
485,1997-12-03,17,45,0.026533522456201775
486,1997-12-04,16,44,-0.12787939373309976
487,1997-12-05,15,43,-0.13231880802605034
488,1997-12-08,12,40,-0.05839374514356044
489,1997-12-09,11,39,-0.15799228952291644
490,1997-12-10,10,38,0.02591832686929818
491,1997-12-11,9,37,0.25200873898363474
492,1997-12-12,8,36,-0.043623356375214195
493,1997-12-15,5,33,-0.09705657217587138
494,1997-12-16,4,32,-0.1401644682209211
495,1997-12-17,3,31,0.07081985341034946
497,1997-12-19,29,64,0.046986069007495024
498,1997-12-22,26,61,-0.1040097948052604
499,1997-12-23,25,60,0.056610492398385226
500,1997-12-30,18,53,-0.4955405499863993
501,1997-12-24,24,59,0.8299638027368992
502,1997-12-26,22,57,-0.11729077389704112
503,1997-12-29,19,54,-0.26095848150260015
504,1997-12-31,17,52,-0.25427305517059784
505,1998-01-02,15,50,-0.13419671351220275
506,1998-01-05,12,47,0.1258477533148683
507,1998-01-06,11,46,8.697785207845143e-06
508,1998-01-07,10,45,-0.07917981740565971
509,1998-01-08,9,44,-0.0029133445403750624
510,1998-01-09,8,43,0.3508341309052665
511,1998-01-12,5,40,-0.2901619794137932
512,1998-01-13,4,39,-0.22651330083348087
513,1998-01-14,3,38,-0.1140249239211718
515,1998-01-16,36,64,-0.2135590923234567
516,1998-01-20,32,60,0.09974582805197185
517,1998-01-21,31,59,-0.0023806850779671818
518,1998-01-22,30,58,0.09516824611333341
519,1998-01-23,29,57,-0.030557220434473287
520,1998-01-26,26,54,0.020132990311072074
521,1998-01-27,25,53,-0.18751095475546475
522,1998-01-28,24,52,0.0078042134810332175
523,1998-01-29,23,51,-0.11992871006281203
524,1998-01-30,22,50,-0.06949079766286526
525,1998-02-02,19,47,-0.05134938534783895
526,1998-02-03,18,46,-0.12816647025779748
527,1998-02-04,17,45,-0.033035711212552
528,1998-02-05,16,44,-0.0044281043461059655
529,1998-02-06,15,43,-0.16257539686248212
530,1998-02-09,12,40,-0.029728431498911134
531,1998-02-10,11,39,-0.09944916415386196
532,1998-02-11,10,38,-0.10282077824953717
533,1998-02-12,9,37,-0.03666425938475082
534,1998-02-13,8,36,-0.07485033175436728
535,1998-02-17,4,32,-0.07431410464511978
536,1998-02-18,3,31,-0.13628773685107065
538,1998-02-20,29,57,-0.11557670548886745
539,1998-02-23,26,54,-0.12834887485846058
540,1998-02-24,25,53,0.024888037949284847
541,1998-02-25,24,52,-0.09856433925892716
542,1998-02-26,23,51,-0.051403417078937474
543,1998-02-27,22,50,-0.021019848079561476
544,1998-03-02,19,47,0.013040264320790085
545,1998-03-03,18,46,-0.1510536390213334
546,1998-03-04,17,45,0.1286130581846372
547,1998-03-05,16,44,0.08678514671988635
548,1998-03-06,15,43,-0.17281973860812294
549,1998-03-09,12,40,-0.1123503300307902
550,1998-03-10,11,39,0.0014787103925300027
551,1998-03-11,10,38,-0.059579761745628734
552,1998-03-12,9,37,-0.10875650796415848
553,1998-03-13,8,36,0.1030972623337214
554,1998-03-16,5,33,-0.12289698029138962
555,1998-03-17,4,32,-0.024429038408417036
556,1998-03-18,3,31,-0.11858659977774266
558,1998-03-20,29,57,0.006524868301108766
559,1998-03-23,26,54,-0.13611543514738444
560,1998-03-24,25,53,0.026461503006422138
561,1998-03-25,24,52,0.15541163947425574
562,1998-03-26,23,51,0.0022271016642041452
563,1998-03-27,22,50,-0.0010814495713568073
564,1998-03-30,19,47,-0.0018754965921274902
565,1998-03-31,18,46,-0.041219602121274956
566,1998-04-01,17,45,-0.007834001630209642
567,1998-04-02,16,44,-0.09931978301355526
568,1998-04-03,15,43,-0.07159138650861152
569,1998-04-06,12,40,0.01515813463433191
570,1998-04-07,11,39,-0.017623257203348897
571,1998-04-08,10,38,-0.07291907149174204
572,1998-04-09,9,37,-0.12202909023691688
573,1998-04-13,5,33,-0.04682594721657496
574,1998-04-14,4,32,-0.28656681917420257
575,1998-04-15,3,31,-0.048916446616225406
577,1998-04-17,29,64,-0.13432166152675096
578,1998-04-20,26,61,-0.07088189465824901
579,1998-04-21,25,60,-0.13933847104232466
580,1998-04-22,24,59,-0.08288711287581307
581,1998-04-23,23,58,0.08359916273733492
582,1998-04-24,22,57,0.1524563366942817
583,1998-04-27,19,54,0.18356001671196331
584,1998-04-28,18,53,-0.17369111528962522
585,1998-04-29,17,52,-0.07390231460232866
586,1998-04-30,16,51,-0.1516380223391538
587,1998-05-01,15,50,-0.1825185814929856
588,1998-05-04,12,47,-0.08541416394306156
589,1998-05-05,11,46,0.12494917179904275
590,1998-05-06,10,45,0.08783908017441022
591,1998-05-07,9,44,-0.027536433266277527
592,1998-05-08,8,43,-0.20269336590614584
